Type		Date    Hour	min_ask	  max_ask	avg_ask      min_bid	max_bid    avg_bid	direction(label)
EUR/USD		20150101 21	1.21039	  1.21101       1.21063      1.20989	1.21024	   1.21009	   1
EUR/USD		20150101 22	1.21006	  1.21113       1.21037      1.20988	1.2107	   1.21021	   1
EUR/USD		20150102 23	1.20795	  1.21031       1.20886      1.2077	1.2102	   1.20867	   -1
EUR/USD		20150102 0	1.20675	  1.20899       1.20773      1.20667	1.20887	   1.20764	   -1
EUR/USD		20150102 1	1.20522	  1.20731       1.20623      1.20515	1.20723	   1.20614	   -1
EUR/USD		20150102 2	1.20485	  1.20692       1.20598      1.20469	1.20685	   1.20590	   -1
EUR/USD		20150102 3	1.20554	  1.20633       1.20594      1.20546	1.20625	   1.20586	   -1
EUR/USD		20150102 4	1.20498	  1.20606       1.20553      1.20488	1.20596	   1.20545	   -1
EUR/USD		20150102 5	1.20466	  1.2056       1.20526      1.2046	1.20555	   1.20518	   -1
EUR/USD		20150102 6	1.20491	  1.20582       1.20543      1.20484	1.20575	   1.20535	   1
EUR/USD		20150102 7	1.20355	  1.20588       1.20455      1.20342	1.2058	   1.20447	   -1
EUR/USD		20150102 8	1.20456	  1.20702       1.20575      1.20449	1.20693	   1.20568	   1
EUR/USD		20150102 9	1.2039	  1.20613       1.20492      1.20388	1.20604	   1.20485	   -1
EUR/USD		20150102 10	1.2043	  1.20585       1.20492      1.20422	1.20579	   1.20484	   -1
EUR/USD		20150102 11	1.20452	  1.20587       1.20521      1.20448	1.20581	   1.20515	   1
EUR/USD		20150102 12	1.20357	  1.20554       1.20442      1.20351	1.20547	   1.20436	   -1
EUR/USD		20150102 13	1.20258	  1.20447       1.20342      1.20252	1.20444	   1.20336	   -1
EUR/USD		20150102 14	1.2009	  1.2034       1.20227      1.20085	1.20336	   1.20221	   -1
EUR/USD		20150102 15	1.20125	  1.20326       1.20233      1.20119	1.20321	   1.20226	   1
EUR/USD		20150102 16	1.20081	  1.20325       1.20224      1.20074	1.2032	   1.20218	   -1
EUR/USD		20150102 17	1.20043	  1.20166       1.20097      1.20036	1.20159	   1.20090	   -1
EUR/USD		20150102 18	1.20085	  1.2016       1.20128      1.2008	1.20153	   1.20122	   1
EUR/USD		20150102 19	1.2005	  1.20125       1.20083      1.20043	1.2012	   1.20076	   -1
EUR/USD		20150102 20	1.2002	  1.20093       1.20044      1.20015	1.20086	   1.20039	   -1
EUR/USD		20150102 21	1.2001	  1.20064       1.20033      1.2	1.2006	   1.20026	   -1
EUR/USD		20150105 22	1.20072	  1.20995       1.20450      1.19058	1.19973	   1.19598	   -1
EUR/USD		20150105 0	1.19475	  1.19764       1.19645      1.19465	1.19761	   1.19639	   1
EUR/USD		20150105 1	1.19518	  1.19737       1.19617      1.19513	1.19732	   1.19611	   -1
EUR/USD		20150105 2	1.19551	  1.19657       1.19614      1.19546	1.19652	   1.19610	   -1
EUR/USD		20150105 3	1.19444	  1.19571       1.19501      1.1944	1.19566	   1.19496	   -1
EUR/USD		20150105 4	1.1936	  1.19456       1.19412      1.19355	1.19451	   1.19407	   -1
EUR/USD		20150105 5	1.19263	  1.19452       1.19356      1.19257	1.19448	   1.19351	   -1
EUR/USD		20150105 6	1.19315	  1.1948       1.19388      1.1931	1.19475	   1.19383	   1
EUR/USD		20150105 7	1.19408	  1.19613       1.19524      1.19403	1.19607	   1.19519	   1
EUR/USD		20150105 8	1.19521	  1.19766       1.19651      1.19515	1.19762	   1.19645	   1
EUR/USD		20150105 9	1.19437	  1.19611       1.19523      1.1943	1.19606	   1.19517	   -1
EUR/USD		20150105 10	1.19145	  1.19576       1.19329      1.1914	1.19571	   1.19325	   -1
EUR/USD		20150105 11	1.19004	  1.19256       1.19124      1.19	1.19251	   1.19120	   -1
EUR/USD		20150105 12	1.18875	  1.19199       1.19033      1.18871	1.19194	   1.19029	   -1
EUR/USD		20150105 13	1.18932	  1.1929       1.19166      1.18929	1.19285	   1.19162	   1
EUR/USD		20150105 14	1.19091	  1.19361       1.19234      1.19086	1.19356	   1.19230	   1
EUR/USD		20150105 15	1.19173	  1.19421       1.19296      1.19169	1.19415	   1.19292	   1
EUR/USD		20150105 16	1.19159	  1.19402       1.19293      1.19152	1.19398	   1.19288	   -1
EUR/USD		20150105 17	1.19127	  1.19292       1.19207      1.19123	1.19286	   1.19202	   -1
EUR/USD		20150105 18	1.19152	  1.1935       1.19235      1.19146	1.19346	   1.19229	   1
EUR/USD		20150105 19	1.19331	  1.19406       1.19377      1.19324	1.19401	   1.19372	   1
EUR/USD		20150105 20	1.19375	  1.195       1.19438      1.19368	1.19496	   1.19434	   1
EUR/USD		20150105 21	1.1933	  1.19395       1.19355      1.19321	1.19391	   1.19349	   -1
EUR/USD		20150105 22	1.19275	  1.1937       1.19323      1.19265	1.19357	   1.19314	   -1
EUR/USD		20150106 23	1.19319	  1.19413       1.19359      1.19311	1.19407	   1.19352	   1
EUR/USD		20150106 0	1.19344	  1.19438       1.19384      1.1934	1.19431	   1.19378	   1
EUR/USD		20150106 1	1.19366	  1.19468       1.19416      1.19361	1.19462	   1.19410	   1
EUR/USD		20150106 2	1.19413	  1.19554       1.19484      1.19407	1.19548	   1.19479	   1
EUR/USD		20150106 3	1.1941	  1.195       1.19454      1.19404	1.19496	   1.19448	   -1
EUR/USD		20150106 4	1.1943	  1.1951       1.19459      1.19424	1.19506	   1.19454	   1
EUR/USD		20150106 5	1.19471	  1.19587       1.19546      1.19466	1.19582	   1.19541	   1
EUR/USD		20150106 6	1.19535	  1.19692       1.19613      1.19529	1.19687	   1.19607	   1
EUR/USD		20150106 7	1.19419	  1.19628       1.19548      1.19415	1.19626	   1.19543	   -1
EUR/USD		20150106 8	1.19222	  1.19535       1.19353      1.19218	1.19525	   1.19348	   -1
EUR/USD		20150106 9	1.19054	  1.19472       1.19253      1.19046	1.1946	   1.19247	   -1
EUR/USD		20150106 10	1.18958	  1.19149       1.19039      1.18954	1.19144	   1.19035	   -1
EUR/USD		20150106 11	1.18876	  1.192       1.19008      1.18872	1.19195	   1.19004	   -1
EUR/USD		20150106 12	1.18844	  1.19112       1.18947      1.18837	1.19109	   1.18941	   -1
EUR/USD		20150106 13	1.18957	  1.19169       1.19066      1.18954	1.19164	   1.19062	   1
EUR/USD		20150106 14	1.18878	  1.19095       1.18979      1.18873	1.1909	   1.18975	   -1
EUR/USD		20150106 15	1.19076	  1.19339       1.19170      1.19051	1.19337	   1.19166	   1
EUR/USD		20150106 16	1.19166	  1.19407       1.19277      1.19161	1.19401	   1.19272	   1
EUR/USD		20150106 17	1.19217	  1.19596       1.19413      1.19212	1.19589	   1.19408	   1
EUR/USD		20150106 18	1.19228	  1.19341       1.19287      1.19221	1.19335	   1.19282	   -1
EUR/USD		20150106 19	1.1912	  1.19368       1.19299      1.19116	1.19364	   1.19294	   1
EUR/USD		20150106 20	1.1889	  1.19152       1.19006      1.18884	1.19147	   1.19001	   -1
EUR/USD		20150106 21	1.18874	  1.18997       1.18937      1.18866	1.18992	   1.18931	   -1
EUR/USD		20150106 22	1.18458	  1.18909       1.18681      1.18407	1.18889	   1.18663	   -1
EUR/USD		20150107 23	1.18699	  1.18796       1.18749      1.18694	1.1879	   1.18743	   1
EUR/USD		20150107 0	1.18635	  1.18819       1.18728      1.1863	1.18812	   1.18723	   -1
EUR/USD		20150107 1	1.18684	  1.18809       1.18751      1.18678	1.18804	   1.18746	   1
EUR/USD		20150107 2	1.18698	  1.18795       1.18752      1.18692	1.18792	   1.18747	   1
EUR/USD		20150107 3	1.18671	  1.18784       1.18720      1.18665	1.18779	   1.18715	   -1
EUR/USD		20150107 4	1.18718	  1.18784       1.18756      1.18712	1.18778	   1.18751	   1
EUR/USD		20150107 5	1.18742	  1.18807       1.18777      1.18738	1.188	   1.18771	   1
EUR/USD		20150107 6	1.18551	  1.18805       1.18684      1.18545	1.18799	   1.18678	   -1
EUR/USD		20150107 7	1.18634	  1.18896       1.18788      1.18628	1.18891	   1.18783	   1
EUR/USD		20150107 8	1.18601	  1.18968       1.18769      1.18597	1.18964	   1.18765	   -1
EUR/USD		20150107 9	1.18525	  1.18799       1.18663      1.18518	1.18791	   1.18657	   -1
EUR/USD		20150107 10	1.1842	  1.18766       1.18594      1.18413	1.18761	   1.18587	   -1
EUR/USD		20150107 11	1.18191	  1.18551       1.18363      1.18185	1.18547	   1.18358	   -1
EUR/USD		20150107 12	1.18201	  1.18456       1.18371      1.18196	1.18451	   1.18367	   1
EUR/USD		20150107 13	1.18191	  1.18396       1.18301      1.18187	1.18391	   1.18296	   -1
EUR/USD		20150107 14	1.18087	  1.18313       1.18184      1.18081	1.18309	   1.18180	   -1
